08-07 12:29:56.94 66 40 0
08-07 12:29:57.031: 66 40 8
08-07 12:29:57.051: 66 40 8
08-07 12:29:57.131: 66 8 0
08-07 12:29:57.211: 66 40 8
08-07 12:29:57.241: 66 8 0
08-07 12:29:57.311: 66 8 8
08-07 12:29:57.341: 66 8 0
08-07 12:29:57.431: 66 40 0
08-07 12:29:57.481: 57 203 0
08-07 12:29:57.511: 66 8 8
08-07 12:29:57.582: 66 8 8
08-07 12:29:57.722: 66 40 8
08-07 12:29:57.802: 66 8 0
08-07 12:29:57.822: 66 40 8
08-07 12:29:57.892: 66 40 8
08-07 12:29:57.942: 66 4 255
08-07 12:29:58.092: 66 40 8
08-07 12:29:58.112: 66 40 8
08-07 12:29:58.202: 66 73 0
08-07 12:29:58.282: 66 8 0
08-07 12:29:58.312: 57 203 0
08-07 12:29:58.392: 66 8 8
08-07 12:29:58.462: 66 40 8
08-07 12:29:58.562: 66 40 8
08-07 12:29:58.592: 66 8 0
08-07 12:29:58.653: 66 40 8
08-07 12:29:58.773: 66 8 0
08-07 12:29:58.813: 66 40 0
08-07 12:29:58.873: 57 231 255
08-07 12:29:58.923: 66 73 16
08-07 12:29:58.953: 66 4 255
08-07 12:29:59.023: 66 8 0
08-07 12:29:59.073: 66 8 0
08-07 12:29:59.133: 66 8 0
08-07 12:29:59.193: 66 8 0
08-07 12:29:59.263: 66 8 8
08-07 12:29:59.333: 66 40 8
08-07 12:29:59.363: 57 235 0
08-07 12:29:59.453: 66 8 0
08-07 12:29:59.493: 66 8 8
08-07 12:29:59.613: 66 40 8
08-07 12:29:59.664: 66 36 247
08-07 12:29:59.684: 66 40 16
08-07 12:29:59.774: 66 40 0
08-07 12:29:59.824: 57 235 0
08-07 12:29:59.854: 66 40 8
08-07 12:29:59.914: 66 8 0
08-07 12:29:59.964: 66 73 0
08-07 12:30:00.014: 66 40 0
08-07 12:30:00.104: 66 69 255
08-07 12:30:00.124: 66 4 255
08-07 12:30:00.184: 66 8 0
08-07 12:30:00.214: 66 4 255
08-07 12:30:00.294: 66 8 0
08-07 12:30:00.364: 66 73 8
08-07 12:30:00.424: 66 73 24
08-07 12:30:00.494: 66 8 8
08-07 12:30:00.604: 57 235 8
08-07 12:30:00.665: 66 40 8
08-07 12:30:00.705: 66 73 16
08-07 12:30:00.815: 66 40 16
08-07 12:30:00.875: 66 8 0
08-07 12:30:00.905: 66 40 8
08-07 12:30:00.985: 66 40 16
08-07 12:30:01.065: 66 8 0
08-07 12:30:01.125: 66 73 8
08-07 12:30:01.205: 57 235 0
08-07 12:30:01.235: 66 8 0
08-07 12:30:01.345: 57 235 16
08-07 12:30:01.365: 66 8 0
08-07 12:30:01.425: 57 235 16
08-07 12:30:01.495: 66 73 8
08-07 12:30:01.555: 66 8 0
08-07 12:30:01.635: 66 40 8
08-07 12:30:01.655: 66 73 8
08-07 12:30:01.716: 57 235 0
08-07 12:30:01.776: 66 8 0
08-07 12:30:01.856: 66 8 0
08-07 12:30:01.926: 57 231 255
08-07 12:30:02.036: 66 4 247
08-07 12:30:02.096: 66 36 255
08-07 12:30:02.116: 57 203 0
08-07 12:30:02.206: 66 8 0
08-07 12:30:02.266: 66 73 8
08-07 12:30:02.336: 57 235 0
08-07 12:30:02.356: 66 4 255
08-07 12:30:02.446: 66 40 8
08-07 12:30:02.526: 57 231 255
08-07 12:30:02.546: 66 8 8
08-07 12:30:02.636: 57 231 255
08-07 12:30:02.656: 66 8 8
08-07 12:30:02.717: 57 231 255
08-07 12:30:02.797: 57 166 255
08-07 12:30:02.827: 57 166 247
08-07 12:30:02.927: 66 8 0
08-07 12:30:02.957: 66 4 247
08-07 12:30:03.067: 66 40 0
08-07 12:30:03.137: 66 8 0
08-07 12:30:03.197: 66 8 0
08-07 12:30:03.267: 66 8 0
08-07 12:30:03.317: 66 4 255
08-07 12:30:03.377: 57 203 0
08-07 12:30:03.397: 66 8 0
08-07 12:30:03.457: 66 40 8
08-07 12:30:03.527: 66 8 0
08-07 12:30:03.587: 66 8 0
08-07 12:30:03.647: 57 231 255
08-07 12:30:03.697: 66 73 0
08-07 12:30:03.758: 66 40 0
08-07 12:30:03.868: 66 8 0
08-07 12:30:03.938: 57 235 0
08-07 12:30:03.988: 57 235 0
08-07 12:30:04.008: 66 40 8
08-07 12:30:04.088: 57 203 0
08-07 12:30:04.158: 57 199 247
08-07 12:30:04.228: 57 235 0
08-07 12:30:04.288: 66 4 255
08-07 12:30:04.368: 66 8 0
08-07 12:30:04.428: 66 8 0
08-07 12:30:04.498: 57 166 247
08-07 12:30:04.558: 57 138 0
08-07 12:30:04.628: 66 8 0
08-07 12:30:04.698: 66 8 8
08-07 12:30:04.809: 66 8 8
08-07 12:30:04.839: 66 8 0
08-07 12:30:04.889: 66 8 0
08-07 12:30:04.949: 57 235 0
08-07 12:30:05.029: 57 235 0
08-07 12:30:05.049: 57 101 255
08-07 12:30:05.119: 57 231 255
08-07 12:30:05.179: 57 166 247
08-07 12:30:05.199: 57 231 255
08-07 12:30:05.259: 57 231 255
08-07 12:30:05.309: 57 231 255
08-07 12:30:05.409: 57 231 255
08-07 12:30:05.489: 66 8 0
08-07 12:30:05.589: 66 4 255
08-07 12:30:05.719: 66 4 247
