08-07 12:29:56.941: D/AndroidImage_NV21(7623): colours are 66 40 0
08-07 12:29:57.031: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.051: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.131: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:57.211: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.241: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:57.311: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:57.341: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:57.431: D/AndroidImage_NV21(7623): colours are 66 40 0
08-07 12:29:57.481: D/AndroidImage_NV21(7623): colours are 57 203 0
08-07 12:29:57.511: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:57.582: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:57.722: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.802: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:57.822: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.892: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:57.942: D/AndroidImage_NV21(7623): colours are 66 4 255
08-07 12:29:58.092: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:58.112: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:58.202: D/AndroidImage_NV21(7623): colours are 66 73 0
08-07 12:29:58.282: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:58.312: D/AndroidImage_NV21(7623): colours are 57 203 0
08-07 12:29:58.392: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:58.462: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:58.562: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:58.592: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:58.653: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:58.773: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:58.813: D/AndroidImage_NV21(7623): colours are 66 40 0
08-07 12:29:58.873: D/AndroidImage_NV21(7623): colours are 57 231 255
08-07 12:29:58.923: D/AndroidImage_NV21(7623): colours are 66 73 16
08-07 12:29:58.953: D/AndroidImage_NV21(7623): colours are 66 4 255
08-07 12:29:59.023: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.073: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.133: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.193: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.263: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:59.333: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:59.363: D/AndroidImage_NV21(7623): colours are 57 235 0
08-07 12:29:59.453: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.493: D/AndroidImage_NV21(7623): colours are 66 8 8
08-07 12:29:59.613: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:59.664: D/AndroidImage_NV21(7623): colours are 66 36 247
08-07 12:29:59.684: D/AndroidImage_NV21(7623): colours are 66 40 16
08-07 12:29:59.774: D/AndroidImage_NV21(7623): colours are 66 40 0
08-07 12:29:59.824: D/AndroidImage_NV21(7623): colours are 57 235 0
08-07 12:29:59.854: D/AndroidImage_NV21(7623): colours are 66 40 8
08-07 12:29:59.914: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:29:59.964: D/AndroidImage_NV21(7623): colours are 66 73 0
08-07 12:30:00.014: D/AndroidImage_NV21(7623): colours are 66 40 0
08-07 12:30:00.104: D/AndroidImage_NV21(7623): colours are 66 69 255
08-07 12:30:00.124: D/AndroidImage_NV21(7623): colours are 66 4 255
08-07 12:30:00.184: D/AndroidImage_NV21(7623): colours are 66 8 0
08-07 12:30:00.214: D/AndroidImage_NV21(7623): colours are 66 4 255
08-07 12:30:00.294: D/AndroidImage_NV21(7623): colours are 66 8 0
